cell_id,red,green,blue
1,217.42,6.2,2.21
2,294.74,30.55,4.97
3,191.59,2.56,1.5
4,203.36,5.11,2.8
5,107.43,20.62,5.17
6,251.89,19.68,6.31
7,181.94,10.71,2.52
8,161.02,12.17,2.02
9,113.38,6.75,2.37
10,207.56,23.66,3.96
11,345.19,15.79,3.55
12,67.24,24.23,4.3
13,92.47,30.21,3.69
14,135.19,6.03,2.61
15,107.87,4.77,9.59
16,163.78,6.86,1.98
17,225.79,13.07,3.81
18,253.81,16.39,6.19
19,395.8,9.17,3.87
20,169.75,24.52,4.1
21,78.47,15.27,3.02
22,145.84,4.12,2.22
23,201.79,33.7,2.35
24,78.11,7.41,1.95
25,116.0,4.57,1.25
26,1511.26,7.84,34.58
27,1266.92,6.58,40.68
28,1678.5,5.81,41.81
29,1083.85,5.95,39.24
30,412.09,12.8,3.82
31,1022.69,11.62,18.85
32,320.78,13.82,3.28
33,323.52,10.23,2.9
34,213.45,7.05,2.23
35,1770.56,2.36,32.16
36,720.07,6.68,27.07
37,89.43,6.09,2.13
38,52.12,15.35,3.59
39,208.52,13.4,4.26
40,571.81,17.06,37.45
41,254.71,11.98,34.6
42,150.8,8.29,1.85
43,124.27,15.25,7.18
44,1062.74,7.37,36.03
45,56.74,8.04,3.47
46,136.5,3.5,0
47,1148.63,2.14,26.43
48,922.78,2.2,25.09
49,1159.52,2.3,36.23
50,75.55,13.08,2.12
51,162.07,31.64,3.9
52,239.8,9.15,2.91
53,79.84,11.91,2.36
54,538.35,2.64,28.48
55,161.66,5.5,2.33
56,302.36,12.52,40.14
57,245.68,11.32,2.92
58,810.19,5.57,28.21
59,698.8,5.17,25.71
60,940.94,2.09,28.41
61,220.19,10.36,2.6
62,154.6,19.54,3.52
63,206.03,10.91,2.58
64,420.97,8.87,34.49
65,112.33,6.48,2.38
66,197.37,23.1,3.52
67,89.35,23.72,2.42
68,165.01,5.66,2.2
69,205.13,14.17,2.72
70,69.75,22.31,2.23
71,1102.44,2.36,27.33
72,931.47,9.03,37.83
73,1248.94,2.04,26.1
74,183.91,19.18,4.0
75,589.62,6.02,28.02
76,1148.27,2.26,50.54
77,282.58,9.41,2.74
78,505.24,7.21,33.45
79,835.43,4.07,24.96
80,311.44,19.58,3.0
81,777.28,11.76,38.42
82,906.35,1.97,33.32
83,408.22,5.32,42.85
84,467.56,2.41,44.77
85,77.74,11.3,3.73
86,215.49,14.33,3.85
87,1068.92,1.92,22.13
88,250.12,7.64,2.31
89,296.08,7.95,19.84
90,1083.2,2.06,38.07
91,200.99,8.2,2.6
92,646.48,7.35,15.34
93,135.58,10.98,2.17
94,171.84,6.1,10.55
95,647.71,1.72,26.99
96,1320.8,2.63,33.58
97,876.25,17.88,14.76
98,864.9,2.32,16.48
99,910.9,2.27,24.66
100,1051.94,2.12,36.33
101,1352.05,1.92,18.83
102,418.43,2.07,29.67
103,852.8,2.27,37.32
104,338.16,3.69,17.04
105,1230.93,2.46,59.9
106,447.52,3.59,43.13
107,209.24,9.59,4.29
108,911.66,2.43,45.93
109,74.99,8.76,1.89
110,250.15,13.63,2.81
111,209.22,21.64,3.45
112,416.76,1.62,10.35
113,1103.92,1.74,21.83
114,128.13,14.05,2.31
115,506.99,2.62,22.73
116,425.74,1.84,14.51
117,729.24,1.74,23.24
118,884.04,2.14,20.79
119,1811.05,2.21,24.02
120,1213.44,2.12,37.37
121,675.62,4.32,43.81
122,516.75,1.71,16.86
123,1404.25,1.72,41.67
124,73.86,14.53,2.5
125,838.27,2.38,29.81
126,284.28,11.09,3.24
127,154.93,8.04,5.04
128,397.79,1.79,17.29
129,173.61,9.27,4.66
130,137.49,7.78,2.38
131,124.73,12.02,3.54
132,671.76,3.38,21.55
133,835.12,2.28,32.92
134,1071.94,4.0,60.83
135,64.6,17.48,2.69
136,78.79,23.28,2.29
137,1274.16,1.67,22.52
138,95.93,23.82,3.34
139,1455.95,1.79,29.38
140,988.72,1.95,31.95
141,137.36,6.36,2.22
142,146.37,3.59,2.08
143,600.98,1.84,23.09
144,1093.62,2.38,30.1
145,557.82,2.17,17.59
146,357.04,1.62,11.63
147,137.9,25.03,3.96
148,626.1,2.42,14.76
149,1137.85,1.94,33.61
150,933.87,2.73,11.56
151,1001.86,3.3,34.05
152,231.97,10.59,2.31
153,438.88,5.72,20.98
154,1272.55,1.88,18.16
155,871.05,1.92,28.84
156,46.2,13.26,3.56
157,142.54,7.29,2.51
158,162.98,29.42,3.14
159,774.79,1.72,19.69
160,224.26,10.24,2.46
161,706.9,4.46,16.32
162,1352.44,2.44,31.74
163,1030.39,2.18,34.88
164,145.21,7.11,2.02
165,682.82,2.1,24.99
166,628.56,2.14,15.2
167,1046.01,1.88,25.06
168,423.6,2.51,17.71
169,1090.61,1.96,24.42
170,185.48,13.55,30.64
171,177.69,11.9,3.04
172,153.39,10.07,2.16
173,305.71,15.3,2.56
174,634.5,4.43,26.94
175,464.53,1.67,17.8
176,163.36,3.52,2.14
177,889.6,1.94,27.12
178,126.27,7.56,1.96
179,1034.12,2.63,36.27
180,319.86,3.07,33.19
181,1318.98,1.79,29.67
182,179.12,8.16,6.82
183,888.86,1.85,32.48
184,800.56,2.06,30.25
185,276.54,10.45,3.19
186,160.0,12.0,2.0
187,468.52,2.08,40.83
188,63.32,11.51,1.88
189,1211.49,2.02,17.84
190,405.6,3.23,35.16
191,192.5,19.81,4.27
192,208.42,15.08,20.54
193,1019.6,3.25,34.52
194,1151.7,1.6,27.08
195,105.74,37.57,3.99
196,1141.48,1.82,36.86
197,1476.33,1.85,24.75
198,258.0,2.36,13.35
199,123.34,26.42,3.01
200,157.24,3.7,2.09
201,173.25,6.99,2.19
202,204.31,9.91,2.19
203,202.23,8.44,2.55
204,192.17,6.98,3.98
205,381.79,6.65,27.69
206,220.34,2.35,22.89
207,476.05,8.85,21.82
208,282.44,3.94,2.27
209,66.38,6.33,1.79
210,678.31,4.57,23.98
211,1296.44,3.83,30.62
212,1012.41,5.11,34.67
213,185.06,19.16,5.13
214,114.25,5.58,3.0
215,507.96,3.11,35.12
216,141.5,7.85,2.51
217,83.67,5.25,2.25
218,1200.33,2.69,30.61
219,64.36,20.48,3.28
220,1019.47,3.81,37.23
221,89.92,14.15,1.75
222,461.18,7.08,32.38
223,347.59,4.15,19.52
224,987.43,119.41,18.56
225,654.16,2.04,12.6
226,224.9,19.52,7.18
227,711.47,8.09,33.79
228,1177.66,2.6,29.54
229,1002.38,2.54,31.5
230,469.54,9.21,16.4
231,1018.74,10.86,51.73
232,557.58,338.71,21.73
233,189.98,4.4,2.7
234,42.75,17.95,2.4
235,556.0,9.26,21.42
236,176.2,16.8,4.0
237,131.13,5.33,2.61
238,171.65,7.98,2.53
239,105.12,8.51,2.28
240,119.26,4.71,1.95
241,305.0,11.15,4.09
242,144.25,11.14,4.29
243,734.06,3.19,32.8
244,136.56,10.67,2.4
245,1138.74,6.16,35.14
246,812.21,1.96,32.47
247,656.41,3.43,31.15
248,159.71,12.66,3.78
249,77.15,8.09,2.12
250,885.42,4.11,28.85
251,1054.43,3.37,42.49
252,171.88,9.55,5.48
253,122.49,5.88,3.71
254,1179.56,2.32,26.66
255,1375.76,1.76,37.11
256,145.51,5.52,2.65
257,226.1,6.62,4.84
258,780.39,9.77,33.1
259,239.44,7.21,2.6
260,259.62,3.44,2.53
261,876.94,6.08,18.6
262,207.2,12.16,3.43
263,257.34,9.42,3.1
264,897.37,7.65,23.3
265,85.36,6.04,1.64
266,619.08,9.32,18.01
267,236.99,10.96,4.19
268,107.0,9.34,2.66
269,183.58,3.32,2.21
270,159.7,8.14,3.43
271,79.04,18.93,2.71
272,357.5,26.4,4.21
273,133.61,4.89,1.81
274,157.69,3.35,2.44
275,138.38,7.98,3.59
276,130.79,9.79,5.62
277,92.63,18.7,4.76
278,117.89,38.53,2.39
279,115.47,3.93,3.34
280,290.19,9.1,3.88
281,132.56,7.67,3.5
282,218.59,3.31,2.33
283,156.3,5.01,2.49
284,414.0,11.0,8.0
285,158.93,4.18,2.47
286,118.41,6.47,2.2
287,133.76,5.86,3.28
288,194.24,3.38,2.5
289,140.11,20.11,2.6
290,80.84,8.73,2.03
291,271.35,7.81,3.07
292,111.27,5.46,2.88
293,103.09,4.49,2.23
294,354.46,12.05,6.45
295,119.03,9.37,2.35
296,383.59,6.78,3.18
297,337.98,5.22,2.37
298,42.18,13.72,2.64
299,162.88,4.75,2.43
300,108.0,2.5,2.0
301,88.36,4.65,2.76
302,138.85,4.84,4.42
303,332.5,5.94,2.81
304,107.07,21.3,3.05
305,116.1,3.67,3.67
306,193.98,6.31,3.01
307,113.25,7.92,3.62
308,335.86,3.34,2.78
309,101.45,9.91,2.67
310,146.0,7.33,1.0
311,216.14,6.89,2.96
312,199.98,6.93,2.82
313,139.98,14.66,3.77
314,135.66,4.78,3.04
315,58.97,18.79,3.48
316,269.85,9.93,3.92
317,95.93,13.53,3.87
318,238.33,1.77,10.45
319,200.85,5.72,1.77
320,232.0,5.89,2.05
321,721.69,11.38,20.71
322,241.11,2.41,3.91
323,272.85,6.19,2.37
324,486.44,12.54,3.3
325,342.72,9.81,5.9
326,65.81,7.86,2.3
327,233.73,11.38,26.6
328,657.61,7.99,24.06
329,141.78,11.15,2.32
330,323.59,8.43,15.53
331,517.34,7.3,15.78
332,198.99,4.05,3.18
333,443.91,4.92,18.29
334,162.55,9.87,4.23
335,403.86,8.59,17.96
336,176.71,7.89,3.71
337,174.62,2.43,2.81
338,187.57,5.71,2.19
339,770.5,2.21,17.32
340,156.32,20.96,2.54
341,170.01,8.46,9.68
342,86.19,15.66,3.39
343,73.15,3.03,16.59
344,531.85,2.12,19.56
345,100.04,4.5,1.67
346,110.75,11.71,3.27
347,832.82,24.27,24.98
348,231.48,9.97,2.4
349,320.86,30.52,22.63
350,273.86,6.54,3.75
351,203.16,12.79,2.35
352,156.22,34.75,4.74
353,797.87,1.95,23.8
354,273.91,10.26,3.36
355,328.3,2.81,5.14
356,165.25,9.7,25.52
357,629.55,2.0,39.81
358,674.98,2.08,17.19
359,1041.38,2.49,26.38
360,504.4,2.31,31.94
361,195.41,13.92,2.98
362,1086.31,2.06,19.22
363,138.72,20.48,5.39
364,442.5,2.05,21.02
365,184.04,6.6,2.3
366,260.64,4.61,2.19
367,160.88,10.26,2.54
368,321.08,10.47,16.64
369,418.78,4.9,4.35
370,202.84,16.0,8.81
371,644.72,6.48,23.58
372,83.99,6.43,2.15
373,591.42,3.2,18.97
374,67.93,13.31,2.74
375,190.87,2.01,11.45
376,1122.1,1.81,18.1
377,820.44,3.65,19.66
378,544.58,4.86,28.03
379,89.05,9.21,4.79
380,468.16,12.94,15.15
381,674.4,3.65,25.46
382,441.03,5.93,32.37
383,76.26,9.99,2.7
384,328.5,3.14,23.42
385,239.52,6.2,2.21
386,379.0,5.0,0
387,346.39,7.58,3.57
388,84.48,6.4,1.92
389,410.42,6.71,22.95
390,197.07,4.55,5.32
391,551.63,6.72,5.99
392,132.75,12.81,3.39
393,136.82,5.93,2.35
394,248.66,7.59,2.16
395,565.28,3.67,21.78
396,298.38,9.02,2.51
397,171.71,12.71,3.8
398,103.67,9.92,2.75
399,61.07,21.02,9.21
400,423.78,6.08,7.47
401,169.32,5.77,1.67
402,314.64,7.48,11.8
403,168.7,5.76,9.55
404,113.16,16.39,13.27
405,283.66,9.31,2.5
406,87.79,8.42,2.31
407,173.91,4.86,3.15
408,232.77,4.99,21.61
409,191.18,3.48,1.92
410,62.64,13.47,8.46
411,140.83,13.98,8.68
412,971.03,2.9,32.72
413,94.99,5.54,8.13
414,76.88,3.92,1.6
415,693.68,2.63,38.6
416,397.26,5.03,12.86
417,236.09,4.87,2.3
418,565.07,2.05,12.42
419,190.62,7.48,2.82
420,272.97,12.35,3.82
421,101.19,5.79,2.04
422,619.04,2.63,17.59
423,1143.44,1.83,17.07
424,294.87,8.9,3.92
425,75.45,9.1,2.08
426,134.93,4.58,2.1
427,195.28,6.94,2.41
428,200.24,4.92,2.81
429,183.75,6.29,2.14
430,146.87,6.56,2.79
431,882.28,2.7,24.07
432,602.48,2.36,26.99
433,970.51,2.12,29.28
434,219.38,6.79,4.23
435,903.15,2.46,22.29
436,91.61,10.79,2.06
437,178.24,7.57,2.11
438,308.28,4.73,2.21
439,556.24,11.88,5.21
440,211.59,5.78,2.88
441,564.21,2.96,28.96
442,830.53,1.7,11.05
443,157.43,13.89,3.59
444,171.61,5.69,4.79
445,367.85,10.75,4.62
446,188.77,4.84,2.62
447,101.92,4.87,2.22
448,371.47,13.83,4.17
449,491.66,8.07,5.59
450,861.65,2.68,26.12
451,252.77,3.75,2.38
452,187.31,6.89,3.13
453,697.98,2.78,15.42
454,145.66,3.6,2.16
455,478.12,2.64,22.84
456,552.66,2.49,18.55
457,50.1,3.52,1.14
458,142.67,6.0,3.17
459,191.63,5.24,3.59
460,189.26,5.41,2.7
461,767.62,1.9,29.41
462,510.39,3.37,17.91
463,57.45,4.67,2.11
464,226.77,4.38,2.32
465,366.06,11.91,8.02
466,505.57,2.7,23.66
467,372.02,7.32,4.28
468,241.76,15.32,4.45
469,239.91,5.9,3.44
470,207.08,8.38,3.12
471,219.18,5.73,2.96
472,732.49,4.12,20.39
473,232.16,3.97,2.38
474,349.37,8.0,18.36
475,696.89,2.86,21.19
476,487.14,5.41,10.86
477,730.85,3.84,15.06
478,181.7,9.05,3.0
479,906.35,5.88,15.33
480,207.27,13.65,3.25
481,197.6,4.96,6.11
482,321.92,6.85,13.36
483,93.18,5.11,2.92
484,706.08,3.48,15.38
485,752.9,4.68,19.47
486,247.22,8.77,5.41
487,505.98,2.24,15.52
488,462.31,2.36,17.12
489,1047.36,2.16,15.49
490,401.75,16.25,2.0
491,259.96,5.13,3.24
492,283.01,11.44,3.32
493,222.91,5.75,2.28
494,136.0,3.78,2.35
495,481.54,3.61,12.63
496,968.76,2.61,28.15
497,145.33,6.28,3.17
498,171.55,5.59,2.84
499,386.44,12.16,6.21
500,266.96,10.85,3.41
501,267.01,6.64,3.61
502,1248.26,2.12,35.21
503,604.85,8.85,15.69
504,1163.55,2.93,31.13
505,80.65,17.64,3.61
506,136.39,4.59,2.08
507,401.04,3.69,11.91
508,854.33,2.08,24.56
509,134.86,6.14,2.4
510,797.93,2.31,26.02
511,755.03,2.22,26.27
512,300.74,22.43,4.7
513,173.24,19.17,3.15
514,131.88,4.45,2.77
515,1199.85,3.62,25.29
516,305.21,4.82,4.45
517,379.89,9.38,4.0
518,40.33,9.76,2.14
519,1487.1,2.48,36.76
520,486.7,5.25,23.42
521,364.23,4.22,19.74
522,352.88,2.6,23.76
523,1010.09,2.27,37.8
524,1020.59,1.9,33.99
525,1245.59,2.12,36.57
526,184.87,12.94,3.06
527,1017.31,1.88,34.62
528,508.65,2.1,21.99
529,557.71,3.03,22.4
530,117.99,5.06,3.06
531,1078.81,2.27,43.43
532,1055.52,1.7,25.5
533,455.28,3.2,15.11
534,131.18,2.74,2.19
535,284.64,9.0,2.21
536,941.01,2.47,22.63
537,115.32,12.42,2.68
538,167.88,7.05,15.19
539,1015.26,1.93,29.79
540,930.37,1.9,28.33
541,238.72,3.85,2.52
542,1554.32,2.15,22.8
543,738.87,2.01,42.67
544,190.48,21.39,3.65
545,1104.61,2.19,29.76
546,105.78,16.53,3.77
547,1576.31,2.2,33.26
548,109.78,14.71,3.35
549,93.62,7.33,2.42
550,183.5,9.83,2.01
551,596.22,2.11,29.3
552,248.79,17.29,3.75
553,402.62,3.01,28.72
554,160.55,2.14,2.25
555,1129.38,2.28,33.24
556,1175.65,2.14,54.74
557,252.0,10.0,0
558,637.73,2.12,36.83
559,967.55,1.97,19.65
560,895.31,1.81,29.64
561,697.1,2.25,31.96
562,712.84,1.84,26.41
563,158.16,2.94,2.37
564,256.8,10.69,4.34
565,135.21,19.6,5.43
566,674.34,2.07,24.82
567,736.18,2.72,30.84
568,853.1,1.78,28.02
569,1118.91,2.1,25.95
570,548.92,2.73,29.1
571,761.8,6.74,19.7
572,409.82,17.85,3.06
573,786.51,2.44,22.86
574,1079.73,1.88,35.91
575,867.33,14.61,19.1
576,535.5,0,20.0
577,635.55,2.14,25.34
578,855.66,7.32,25.16
579,1013.96,2.14,35.49
580,260.24,4.11,23.36
581,1262.48,3.4,26.78
582,1122.26,2.18,30.76
583,675.01,3.96,25.97
584,888.86,8.86,22.09
585,1016.07,2.01,27.99
586,808.65,2.04,22.44
587,274.41,26.18,15.04
588,317.03,4.66,17.01
589,936.43,3.07,22.02
590,994.1,2.23,32.76
591,61.49,3.52,2.48
592,718.45,9.19,22.51
593,237.14,5.24,13.92
594,313.5,44.0,4.0
595,1197.19,2.73,25.24
596,529.95,2.16,18.76
597,867.86,2.34,17.38
598,1012.16,2.18,20.35
599,556.54,2.03,23.15
600,693.34,2.37,25.99
601,1122.76,2.16,24.71
602,1239.67,2.19,23.48
603,94.49,6.86,7.21
604,555.37,1.93,17.5
605,649.22,15.56,18.86
606,856.87,2.24,24.57
607,807.92,1.72,24.52
608,691.24,2.08,31.01
609,393.62,4.0,21.27
610,830.3,5.6,20.04
611,1022.09,1.96,33.03
612,799.37,1.54,27.17
613,111.0,4.75,4.75
614,847.34,1.73,46.27
615,835.19,2.0,40.8
616,531.99,2.36,29.54
617,104.87,3.17,2.36
618,172.29,9.34,2.84
619,541.81,2.39,19.76
620,730.08,2.0,46.69
621,476.83,3.58,19.01
622,163.72,6.89,2.41
623,914.74,4.73,21.17
624,213.42,3.59,2.28
625,557.52,14.31,19.91
626,1037.92,2.6,39.52
627,987.84,2.0,38.41
628,536.71,5.76,21.13
629,762.3,1.73,47.12
630,999.37,1.83,25.46
631,768.46,1.92,38.03
632,968.16,1.89,36.59
633,502.16,4.62,7.92
634,1161.41,2.05,30.41
635,834.59,1.69,54.09
636,354.61,8.06,4.65
637,343.79,3.0,23.23
638,1134.14,1.9,33.63
639,357.5,4.5,1.0
640,174.35,3.55,2.33
641,765.62,1.88,28.97
642,1049.74,3.99,34.6
643,676.89,2.85,23.96
644,1422.44,1.67,29.06
645,419.64,11.42,18.26
646,1618.26,1.87,29.07
647,819.19,2.76,54.19
648,142.88,2.65,2.36
649,183.78,1.75,3.5
650,955.17,2.49,27.66
651,417.08,4.61,20.81
652,509.56,2.1,30.28
653,485.18,2.19,34.46
654,342.24,6.72,3.21
655,99.45,4.1,3.03
656,707.44,9.23,18.09
657,551.56,2.09,14.14
658,385.28,4.09,9.37
659,152.32,2.26,2.16
660,685.26,2.06,34.14
661,66.31,8.28,1.81
662,1298.87,2.2,31.76
663,766.63,2.57,23.51
664,924.69,2.0,30.86
665,797.82,2.18,23.7
666,264.27,4.55,5.53
667,538.43,13.13,24.61
668,874.36,1.98,19.77
669,953.17,5.04,21.07
670,375.11,3.88,14.09
671,634.96,2.31,14.72
672,544.23,5.32,33.71
673,102.26,10.38,2.45
674,658.57,4.85,2.98
675,268.82,3.2,2.28
676,207.63,4.12,3.29
677,747.82,3.28,28.7
678,798.06,2.06,27.4
679,1207.99,2.16,25.04
680,820.65,2.85,18.26
681,623.17,5.61,21.52
682,717.91,3.14,25.17
683,399.21,17.79,14.88
684,515.16,13.55,4.58
685,742.78,10.11,23.64
686,838.18,2.39,18.35
687,758.21,9.12,12.47
688,132.83,8.28,3.84
689,714.06,2.12,16.26
690,268.13,5.98,4.78
